[季調系列],,,,,,需    要    者    別    受    注    額,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,（単位：１００万円、％）
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,受注額,,外需,官公需,民需,,,製造業,非製造業,,,代理店,内需,官          公          需          内          訳,,,,,製          造          業          内          訳          ,,,,,,,,,,,,,,,,,非          製          造          業          内           訳,,,,,,,,,,,,販売額,,受注残高,
,,,,合計,（船舶を除く）,,,,（船舶を除く）,（船舶・電力,,,（船舶を除く）,（船舶・電力,,,運輸業,防衛省,国家公務,地方公務,その他,食品製造業,繊維工業,パルプ・紙・紙加工品製造業,化学工業,石油製品・石炭製品製造業,窯業・土石製品,鉄鋼業,非鉄金属製造業,金属製品製造業,はん用・生産用機械器具製造業,業務用機械器具製造業,電気機械器具製造業,情報通信機械器具製造業,自動車・同付属品製造業,造船業,その他輸送用機械器具製造業,その他製造業(現行分類),農林漁業,鉱業・採石業・砂利採取業,建設業,電力業,運輸業・郵便業,通信業,卸売業・小売業,金融業・保険業,不動産業,情報サービス業,リース業,その他非製造業,総計,（船舶を除く）,総計,（船舶を除く）
,,,,,,,,,,を除く）,,,,を除く）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2022年 8月,,"2,712,414","2,564,220","1,228,856","276,607","1,055,130","1,037,175","905,026","476,258","562,067","543,994","422,661","117,211","1,323,768","14,344","60,334","31,858","110,021","45,605","8,592","2,937","2,903","34,911","5,165","5,029","13,792","84,938","9,966","97,240","16,895","78,066","23,374","44,021","19,314","16,178","59,754","33,335","2,020","51,889","126,989","78,475","44,146","43,168","66,314","5,394","44,330","9,790","68,765","2,579,974","2,462,409","34,238,360","31,715,378"
,,          9月,,"2,662,777","2,603,064","1,339,788","266,200","989,022","993,999","876,302","446,355","548,392","550,082","437,531","120,662","1,249,128","4,027","78,533","29,121","93,832","54,245","8,521","3,285","9,431","38,302","5,507","5,490","10,290","17,030","10,155","95,798","17,062","85,959","27,527","43,435","14,081","12,653","53,352","30,976","1,838","49,021","95,660","65,705","47,150","44,204","68,446","7,724","51,091","10,532","73,114","2,511,201","2,350,062","34,505,799","31,968,488"
,,          10月,,"2,682,774","2,532,185","1,311,578","267,089","978,479","954,519","907,262","427,969","549,199","534,114","476,835","118,920","1,221,770","4,521","79,549","37,524","96,578","46,572","10,361","2,833","3,851","19,827","5,000","4,263","12,677","26,766","11,947","88,391","18,090","84,605","25,425","37,470","13,932","13,749","37,767","36,200","2,083","57,455","90,549","68,371","35,111","39,351","63,426","5,698","64,499","10,113","75,418","2,633,825","2,536,126","35,039,955","32,546,770"
,,          11月,,"2,688,009","2,507,051","1,327,315","253,673","967,948","950,329","846,635","393,884","577,709","557,160","466,803","119,413","1,211,906","5,142","79,800","36,838","84,609","44,733","10,598","2,606","3,578","26,763","4,704","4,688","14,871","11,284","10,696","89,995","16,307","61,921","22,806","38,253","13,695","14,136","48,781","36,047","2,249","58,563","92,429","83,926","41,951","46,830","76,430","6,381","46,529","9,611","64,762","2,605,377","2,516,899","35,100,471","32,631,303"
,,          12月,,"2,814,187","2,583,821","1,466,748","232,093","941,266","957,186","848,901","403,650","550,948","555,482","451,882","119,547","1,192,755","2,583","51,520","36,476","99,202","60,119","9,340","1,790","3,826","24,469","5,129","4,101","14,208","24,078","9,335","84,179","15,794","67,839","19,670","39,791","13,042","12,057","50,785","42,907","8,819","57,060","90,781","62,727","40,898","46,045","65,919","6,227","43,781","11,109","65,383","2,639,554","2,547,152","35,021,260","32,394,440"
,,2023年 1月,,"2,527,417","2,291,799","1,097,653","244,597","1,053,823","1,022,538","929,625","393,031","657,417","625,890","539,861","122,954","1,291,063","2,475","65,460","39,726","72,707","62,980","10,276","2,424","5,672","24,819","6,643","7,602","12,457","12,610","9,270","91,422","15,348","61,683","16,540","34,650","13,754","11,944","58,934","45,726","2,440","113,540","103,788","115,117","44,887","37,976","75,521","4,470","48,658","8,650","71,979","2,442,062","2,353,777","34,756,340","32,067,412"
,,          2月,,"2,506,676","2,435,397","1,122,815","356,656","1,086,641","1,057,634","887,955","433,312","631,452","624,712","460,582","114,609","1,420,505","4,973","89,166","42,066","65,267","142,500","8,509","2,399","3,309","27,438","8,452","5,369","9,736","54,324","10,491","99,387","15,457","59,146","18,464","41,361","9,864","11,868","58,141","38,183","2,195","51,380","142,216","91,750","61,881","40,930","53,545","11,422","48,079","10,196","74,916","2,591,321","2,485,198","34,721,939","32,000,486"
,,          3月,,"2,437,540","2,379,711","1,004,765","301,393","952,529","960,123","852,940","422,895","552,059","547,463","439,683","120,855","1,309,131","3,369","110,697","43,555","62,969","57,293","7,820","2,002","3,393","23,733","5,143","4,218","14,580","15,091","12,141","92,195","17,584","70,436","18,273","38,899","44,484","10,722","46,798","37,613","1,663","61,505","103,734","70,881","45,297","40,474","63,757","5,608","53,897","11,833","58,572","2,376,462","2,276,762","34,780,833","31,867,381"
,,          4月,,"2,718,582","2,492,319","1,128,721","321,995","1,033,687","988,470","900,025","410,044","588,892","586,828","487,960","131,293","1,332,129","3,127","64,555","50,098","82,904","105,386","9,551","8,720","3,225","34,460","6,746","6,706","11,679","20,060","8,625","96,557","12,156","64,377","15,366","40,751","4,548","20,587","54,227","36,326","2,269","48,791","96,655","76,266","33,451","39,669","98,971","6,922","52,214","14,512","74,298","2,320,361","2,220,668","34,783,130","31,940,960"
,,          5月,,"2,639,085","2,693,591","1,264,614","350,588","979,377","994,743","831,494","423,039","566,980","565,741","393,379","104,483","1,347,361","7,471","309,412","43,710","47,992","80,817","9,324","2,253","4,117","23,151","11,689","4,604","12,654","8,804","10,234","93,478","11,577","66,091","16,023","40,157","35,881","14,675","52,943","35,998","1,906","50,976","202,673","65,961","32,220","31,952","57,214","10,506","51,161","10,919","59,881","2,540,306","2,503,635","34,966,529","32,111,022"
